# file...... Inverter1.csv
# date...... Tue Jan  9 14:09:31 2018
# user...... ubuntu
# host...... (null)
# target.... inverter 15
# trigger... (none)
# interval.. 1
# limit..... -2147483648
# timestamp,V_In,I_In,VA_In,VA_Out,phaseA_V_Out,phaseB_V_Out,phaseC_V_Out,phaseA_I_Out,phaseB_I_Out,phaseC_I_Out,power_A,power_B,power_C,P_Out,Q_Out,power_in,rated_power
2018-01-09 12:09:51 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:09:52 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:09:53 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:09:54 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:09:55 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:09:56 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:09:57 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:09:58 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:09:59 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:00 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:01 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:02 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:03 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:04 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:05 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:06 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:07 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:08 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:09 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:10 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:11 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:10:12 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
